name,surname,id,grade
Jeannie,Figueroa,a36284782,HD
Joshua,Banks,a6574310,D
Bethany,French,a86742883,D
Joanna,Ramsey,a22817180,D
Ira,Wilkerson,a82337217,HD
Timmy,Swanson,a46232210,HD
Rosalie,Ward,a92621319,D
Delia,Palmer,a2969315,D
Heidi,Mathis,a73230691,P
Ana,Huff,a3032257,D
Jamie,Delgado,a69000402,P
Al,Ramsey,a41446849,HD
Josefina,Gomez,a41794714,P
Gustavo,Swanson,a77538672,F
Angie,Daniel,a92482054,P
Jeffery,Figueroa,a95290859,D
Tommie,Daniels,a21447788,D
Florence,Cooper,a4932161,HD
Gretchen,Warren,a38650689,F
Tim,Hicks,a41152684,D
Craig,Floyd,a52034845,P
Rodney,Roberts,a76995577,F
Joshua,Walters,a9013260,D
Kurt,Edwards,a45673254,F
Gayle,Malone,a14153304,F
Gretchen,Robbins,a43514620,P
Heidi,Woods,a44301542,D
Gail,Castillo,a52149075,HD
Joanna,Cohen,a83693417,D
Ramona,Miles,a33743350,F
Doreen,Bates,a57784271,F
Oliver,Reid,a23889322,D
Vanessa,Rogers,a52943634,D
Willard,Carr,a7048365,HD
Inez,Moss,a42884617,D
Ana,Hart,a78386453,D
Sherri,Floyd,a75561718,P
Diana,Blake,a59652153,HD
Maria,Cox,a64372605,F
Mona,Summers,a55071230,P
Tim,Waters,a99243751,D
Jasmine,Stevenson,a16684748,F
Craig,Ward,a79007045,F
Doreen,Moreno,a45582945,HD
Jeannie,Wilkerson,a5366696,D
Heidi,Harmon,a47654573,F
Josefina,Obrien,a5724654,D
Patsy,Welch,a86430428,D
Willard,Reid,a47543085,D
Tim,Mcgee,a52928012,P
Gail,Robbins,a97893385,F
Tommie,Banks,a77031695,HD
Inez,Moran,a84722782,P
Willard,Harrington,a72602391,F
Wilbert,Mcgee,a97531918,HD
Lee,Russell,a87996967,F
Gretchen,Wolfe,a70917694,HD
Nathaniel,Elliott,a758252,F
Reginald,Mcgee,a89031983,F
Kristina,Daniel,a39489038,P
Tommie,Jimenez,a44017970,D
Neil,Cox,a6229711,HD
Freddie,Hicks,a15573882,HD
Ginger,Mcgee,a82574793,D
Gayle,Stevenson,a18915349,P
Ryan,Moran,a99932347,HD
Heidi,Higgins,a27312861,D
Gregg,Gray,a20612831,P
Wilbert,Hart,a60297075,HD
Lillie,Gray,a11410208,F
Terence,Sanders,a25956729,P
Arlene,Welch,a60916556,F
Kristina,Ballard,a67731801,D
Rachel,Gomez,a21900475,HD
Joanna,Stanley,a67176821,F
Matt,Moss,a83946831,P
Bernadette,Hardy,a79570430,F
Forrest,Holmes,a39935041,P
Jon,Moreno,a22936183,HD
Delia,Williams,a15212154,HD
Lynn,Hardy,a30305908,D
Lynn,Jones,a65320243,D
Gustavo,Lynch,a75438379,HD
Al,Patton,a15571953,HD
Jeannie,Walters,a5211081,P
Gregg,Reynolds,a10025757,D
Tricia,Carpenter,a47054432,F
Mercedes,Moreno,a15674653,F
Bethany,Peters,a31821690,HD
Sherri,Palmer,a74689303,F
Arlene,Snyder,a49856337,P
Kimberly,Goodwin,a15398800,F
Gretchen,Aguilar,a90321085,P
Jeffery,Kim,a87146322,F
Mercedes,Castillo,a23038077,P
Tasha,Goodwin,a74619879,HD
Hugo,Delgado,a48103350,P
Ramona,Sims,a1934367,P
Penny,Miles,a73894022,P
Oliver,Palmer,a28612833,D
Ginger,Moran,a69122613,P
Tommie,Webster,a63354765,P
Meghan,Floyd,a59204472,P
Gina,Stanley,a92101688,HD
Gayle,Patton,a72381022,D
Sylvester,Greene,a1189401,P
Gwen,Moran,a35122886,P
Mercedes,Moss,a97885790,F
Joanna,Swanson,a41258143,D
Walter,Patton,a24602386,HD
Timmy,Daniels,a6588625,D
Don,Guerrero,a92613771,F
Lee,Harrington,a80458217,HD
Forrest,Guerrero,a71264088,D
Rosalie,Russell,a28717551,HD
Lynn,Jones,a77411604,F
Gwen,Barker,a8203204,D
Lauren,Lynch,a46892594,D
Ira,Patton,a27591947,P
Tasha,Hale,a93576435,F
Courtney,Stanley,a25162836,D
